head_dist,n_tokens,n_types,top_pos_vals,top_pos_counts,top_pos_pct,top_relation_type_vals,top_relation_type_counts,top_relation_type_pct,top_index_vals,top_index_counts,top_index_pct,top_length_vals,top_length_counts,top_length_pct,top_arity_vals,top_arity_counts,top_arity_pct
-6,3251,1701,"['NOUN', 'VERB', 'PUNCT', 'PROPN', 'ADJ']","[1218, 816, 626, 209, 163]","[37.47, 25.1, 19.26, 6.43, 5.01]","['punct', 'obl', 'conj', 'advcl', 'nmod']","[626, 618, 534, 274, 264]","[19.26, 19.01, 16.43, 8.43, 8.12]","[8, 9, 10, 11, 7]","[336, 324, 297, 247, 200]","[10.34, 9.97, 9.14, 7.6, 6.15]","[1, 4, 5, 6, 7]","[605, 561, 434, 362, 340]","[18.61, 17.26, 13.35, 11.14, 10.46]","[3, 0, 2, 4, 1]","[774, 763, 595, 479, 280]","[23.81, 23.47, 18.3, 14.73, 8.61]"
-5,4545,2268,"['NOUN', 'VERB', 'PUNCT', 'PROPN', 'ADJ']","[1882, 1058, 694, 358, 191]","[41.41, 23.28, 15.27, 7.88, 4.2]","['obl', 'punct', 'conj', 'nmod', 'advcl']","[968, 694, 593, 484, 332]","[21.3, 15.27, 13.05, 10.65, 7.3]","[8, 7, 9, 10, 6]","[428, 400, 384, 316, 291]","[9.42, 8.8, 8.45, 6.95, 6.4]","[4, 1, 5, 6, 7]","[786, 694, 615, 550, 491]","[17.29, 15.27, 13.53, 12.1, 10.8]","[3, 2, 0, 4, 1]","[1048, 974, 890, 754, 473]","[23.06, 21.43, 19.58, 16.59, 10.41]"
-4,6684,3050,"['NOUN', 'VERB', 'PUNCT', 'PROPN', 'ADJ']","[3138, 1488, 670, 592, 262]","[46.95, 22.26, 10.02, 8.86, 3.92]","['obl', 'nmod', 'conj', 'punct', 'obj']","[1435, 1014, 717, 670, 581]","[21.47, 15.17, 10.73, 10.02, 8.69]","[7, 6, 8, 9, 11]","[598, 518, 504, 440, 360]","[8.95, 7.75, 7.54, 6.58, 5.39]","[4, 5, 6, 7, 1]","[1252, 974, 929, 735, 689]","[18.73, 14.57, 13.9, 11.0, 10.31]","[3, 2, 0, 4, 1]","[2110, 1461, 1040, 926, 845]","[31.57, 21.86, 15.56, 13.85, 12.64]"
-3,10487,4117,"['NOUN', 'VERB', 'PROPN', 'PUNCT', 'ADV']","[5790, 1839, 936, 685, 352]","[55.21, 17.54, 8.93, 6.53, 3.36]","['nmod', 'obl', 'obj', 'conj', 'punct']","[2131, 1858, 1691, 911, 685]","[20.32, 17.72, 16.12, 8.69, 6.53]","[6, 7, 5, 8, 9]","[835, 805, 705, 653, 559]","[7.96, 7.68, 6.72, 6.23, 5.33]","[4, 5, 6, 7, 3]","[2057, 1605, 1380, 1214, 963]","[19.61, 15.3, 13.16, 11.58, 9.18]","[2, 3, 1, 0, 4]","[4925, 2342, 1333, 1213, 538]","[46.96, 22.33, 12.71, 11.57, 5.13]"
-2,15690,5483,"['NOUN', 'VERB', 'PROPN', 'PRON', 'NUM']","[6275, 3726, 2110, 842, 646]","[39.99, 23.75, 13.45, 5.37, 4.12]","['obj', 'nmod', 'conj', 'xcomp', 'obl']","[3537, 2348, 1978, 1737, 1474]","[22.54, 14.96, 12.61, 11.07, 9.39]","[5, 6, 7, 4, 8]","[1159, 1121, 979, 979, 825]","[7.39, 7.14, 6.24, 6.24, 5.26]","[4, 5, 6, 7, 3]","[3329, 2185, 1931, 1727, 1664]","[21.22, 13.93, 12.31, 11.01, 10.61]","[1, 2, 0, 3, 4]","[7836, 4039, 2049, 1350, 334]","[49.94, 25.74, 13.06, 8.6, 2.13]"
-1,13038,2647,"['PUNCT', 'PRON', 'ADV', 'PROPN', 'NOUN']","[3421, 2368, 1453, 1375, 1213]","[26.24, 18.16, 11.14, 10.55, 9.3]","['punct', 'obj', 'advmod', 'flat', 'compound:prt']","[3421, 3076, 1377, 1182, 581]","[26.24, 23.59, 10.56, 9.07, 4.46]","[2, 5, 4, 6, 3]","[1066, 828, 815, 783, 743]","[8.18, 6.35, 6.25, 6.01, 5.7]","[1, 2, 4, 3, 5]","[3502, 2229, 1875, 1444, 1012]","[26.86, 17.1, 14.38, 11.08, 7.76]","[0, 1, 2, 3, 4]","[11142, 1501, 327, 51, 12]","[85.46, 11.51, 2.51, 0.39, 0.09]"
0,10046,3032,"['VERB', 'NOUN', 'ADJ', 'PROPN', 'NUM']","[6830, 1308, 1090, 263, 220]","[67.99, 13.02, 10.85, 2.62, 2.19]",['root'],[10046],[100.0],"[2, 3, 4, 1, 5]","[1737, 1703, 1393, 1131, 958]","[17.29, 16.95, 13.87, 11.26, 9.54]","[4, 5, 6, 3, 7]","[2871, 1462, 1208, 1146, 1110]","[28.58, 14.55, 12.02, 11.41, 11.05]","[3, 4, 2, 5, 6]","[2558, 2493, 1722, 1644, 714]","[25.46, 24.82, 17.14, 16.36, 7.11]"
1,57036,5218,"['DET', 'PRON', 'ADJ', 'ADP', 'AUX']","[9206, 6784, 6693, 5975, 5365]","[16.14, 11.89, 11.73, 10.48, 9.41]","['det', 'amod', 'case', 'compound', 'nsubj']","[9158, 7061, 6096, 5657, 5610]","[16.06, 12.38, 10.69, 9.92, 9.84]","[4, 1, 2, 3, 5]","[3247, 3200, 3185, 3137, 3123]","[5.69, 5.61, 5.58, 5.5, 5.48]","[3, 2, 4, 1, 5]","[14921, 12269, 8790, 6246, 4972]","[26.16, 21.51, 15.41, 10.95, 8.72]","[0, 1, 2, 3, 4]","[54259, 2343, 361, 51, 19]","[95.13, 4.11, 0.63, 0.09, 0.03]"
2,28588,2747,"['ADP', 'DET', 'PRON', 'AUX', 'NOUN']","[6069, 4508, 4155, 3679, 1706]","[21.23, 15.77, 14.53, 12.87, 5.97]","['case', 'det', 'nsubj', 'aux', 'punct']","[6140, 4376, 4284, 2259, 1602]","[21.48, 15.31, 14.99, 7.9, 5.6]","[1, 2, 3, 4, 5]","[2389, 1659, 1578, 1486, 1446]","[8.36, 5.8, 5.52, 5.2, 5.06]","[3, 2, 4, 1, 5]","[7493, 7191, 4350, 3769, 2227]","[26.21, 25.15, 15.22, 13.18, 7.79]","[0, 1, 2, 3, 4]","[26550, 1552, 392, 76, 15]","[92.87, 5.43, 1.37, 0.27, 0.05]"
3,13592,1840,"['ADP', 'PRON', 'DET', 'AUX', 'PUNCT']","[2638, 2202, 1279, 1261, 1153]","[19.41, 16.2, 9.41, 9.28, 8.48]","['case', 'nsubj', 'det', 'punct', 'cc']","[2693, 2575, 1212, 1153, 944]","[19.81, 18.94, 8.92, 8.48, 6.95]","[1, 2, 3, 4, 8]","[1431, 852, 731, 680, 639]","[10.53, 6.27, 5.38, 5.0, 4.7]","[2, 3, 4, 1, 5]","[3263, 3257, 2261, 2042, 947]","[24.01, 23.96, 16.63, 15.02, 6.97]","[0, 1, 2, 3, 4]","[11687, 1352, 411, 110, 24]","[85.98, 9.95, 3.02, 0.81, 0.18]"
4,6439,1171,"['ADP', 'PUNCT', 'PRON', 'NOUN', 'CCONJ']","[924, 894, 746, 612, 585]","[14.35, 13.88, 11.59, 9.5, 9.09]","['nsubj', 'case', 'punct', 'cc', 'mark']","[1056, 951, 894, 599, 587]","[16.4, 14.77, 13.88, 9.3, 9.12]","[1, 2, 3, 6, 7]","[720, 385, 360, 314, 301]","[11.18, 5.98, 5.59, 4.88, 4.67]","[3, 2, 1, 4, 5]","[1444, 1393, 1125, 1083, 419]","[22.43, 21.63, 17.47, 16.82, 6.51]","[0, 1, 2, 3, 4]","[5357, 600, 320, 116, 35]","[83.2, 9.32, 4.97, 1.8, 0.54]"
5,3249,795,"['PUNCT', 'NOUN', 'ADP', 'PRON', 'SCONJ']","[541, 394, 366, 336, 333]","[16.65, 12.13, 11.27, 10.34, 10.25]","['punct', 'nsubj', 'case', 'mark', 'cc']","[541, 539, 363, 360, 295]","[16.65, 16.59, 11.17, 11.08, 9.08]","[1, 3, 2, 4, 5]","[366, 218, 206, 167, 164]","[11.27, 6.71, 6.34, 5.14, 5.05]","[3, 1, 4, 2, 5]","[673, 634, 596, 578, 271]","[20.71, 19.51, 18.34, 17.79, 8.34]","[0, 1, 2, 3, 4]","[2468, 325, 271, 129, 41]","[75.96, 10.0, 8.34, 3.97, 1.26]"
6,1673,575,"['PUNCT', 'NOUN', 'SCONJ', 'CCONJ', 'ADP']","[283, 264, 167, 136, 133]","[16.92, 15.78, 9.98, 8.13, 7.95]","['punct', 'nsubj', 'mark', 'case', 'cc']","[283, 281, 174, 136, 132]","[16.92, 16.8, 10.4, 8.13, 7.89]","[1, 2, 3, 4, 5]","[208, 124, 124, 94, 86]","[12.43, 7.41, 7.41, 5.62, 5.14]","[4, 3, 1, 2, 5]","[325, 321, 309, 257, 134]","[19.43, 19.19, 18.47, 15.36, 8.01]","[0, 2, 1, 3, 4]","[1154, 175, 165, 121, 41]","[68.98, 10.46, 9.86, 7.23, 2.45]"
