length,n_tokens,n_types,top_pos,top_pos_pct,top_index,top_index_pct,top_head_dist,top_head_dist_pct,top_relation_type,top_relation_type_pct,top_arity,top_arity_pct
1,29626,74,PUNCT,71.8,1,5.98,1,21.08,punct,71.8,0,97.21
2,29918,334,ADP,37.84,1,6.61,1,41.01,case,35.28,0,92.3
3,36097,911,DET,26.98,1,5.88,1,41.34,det,26.02,0,81.98
4,33008,1660,NOUN,18.66,2,6.03,1,26.63,advmod,10.33,0,55.09
5,18892,2012,NOUN,30.75,2,5.92,1,26.32,amod,9.01,0,47.07
6,14274,2373,NOUN,37.89,4,5.73,1,21.52,amod,8.81,0,36.53
7,12188,2426,NOUN,36.82,4,5.29,1,19.49,amod,9.56,0,33.13
8,7895,2044,NOUN,39.61,5,5.78,1,20.39,amod,12.89,0,31.91
9,5526,1557,NOUN,39.32,4,5.52,1,21.08,amod,12.76,0,31.94
10,3526,1150,NOUN,45.86,3,6.66,1,21.67,amod,10.78,0,30.2
