relation_type,n_tokens,n_types,top_pos,top_pos_pct,top_index,top_index_pct,top_length,top_length_pct,top_head_dist,top_head_dist_pct,top_arity,top_arity_pct
punct,22123,94,PUNCT,100.0,10,4.48,1,96.14,-1,15.46,0,100.0
case,16577,128,ADP,97.79,6,6.01,2,63.67,2,37.04,0,98.68
nsubj,15648,2562,PRON,64.49,1,21.2,4,19.67,1,35.85,0,71.04
det,15562,31,DET,100.0,1,7.36,3,60.36,1,58.85,0,99.92
advmod,10307,704,ADV,89.64,1,7.98,4,33.07,1,43.64,0,90.67
root,10046,3032,VERB,67.99,2,17.29,4,28.58,0,100.0,3,25.46
obj,9685,2978,NOUN,70.18,5,7.64,4,22.28,-2,36.52,1,33.07
amod,9312,1960,ADJ,92.69,5,5.52,4,18.98,1,75.83,0,89.68
obl,8743,3228,NOUN,68.2,7,5.94,4,21.22,-3,21.25,2,35.01
conj,7557,3810,VERB,39.31,11,5.27,4,21.19,-2,26.17,1,28.04
mark,7097,80,SCONJ,52.91,5,6.97,2,67.66,1,50.08,0,98.72
compound,7018,2758,NOUN,62.2,6,5.77,4,18.18,1,80.61,0,79.91
nmod,6794,2980,NOUN,66.5,9,5.78,4,17.28,-2,34.56,2,36.78
cc,6694,26,CCONJ,97.27,7,5.92,3,85.55,1,44.07,0,98.98
aux,5904,71,AUX,100.0,2,17.45,3,29.86,1,48.49,0,99.88
